Address,CityOrCounty,State,StateAbr,Killed,Injured,Month,Day,Year,Latitude,Longitude
100 block of Cynthia Loop NW,Albuquerque,New Mexico,NM,1,0,1,3,2017,35.1055517,-106.6473884
1 Rd 3959,Farmington,New Mexico,NM,1,0,12,12,2016,34.31080523,-106.1079173
2998 Armenian Rd,Sherman,New York,NY,1,0,11,22,2017,42.6687355,-75.44096178
111 Wadsworth Ave,New York (Manhattan),New York,NY,1,1,10,29,2017,42.6687355,-75.44096178
7899 Woodcook Dr,Greig,New York,NY,1,0,10,23,2017,43.70439,-75.24647928
201 Warburton Ave,Yonkers,New York,NY,1,0,9,24,2017,40.94660166,-73.86737618
107 Hartson St,Syracuse,New York,NY,1,0,8,21,2017,42.6687355,-75.44096178
Williams St,Glen Cove,New York,NY,1,0,8,2,2017,40.8914755,-73.64414355
Bagdad Rd,Gowanda,New York,NY,1,0,7,12,2017,42.46120527,-78.93382338
Orange Street,Rochester,New York,NY,1,0,3,19,2017,42.6687355,-75.44096178
Division Street,Norwich,New York,NY,1,0,12,1,2016,42.53332261,-75.52275911
Orr Street Extension and Garfield Road,Busti,New York,NY,1,0,11,28,2016,42.04232483,-79.27890125
W River Road,Caledonia,New York,NY,1,0,11,27,2016,42.97547297,-77.85711308
Kehoe Road,Sandy Creek,New York,NY,1,0,11,24,2016,43.64336689,-76.08631566
2000 Block of Walden Glade Run,Apex,North Carolina,NC,1,0,11,24,2017,35.7282406,-78.862489
2091 N.C. Highway 27,Lillington,North Carolina,NC,1,0,11,13,2017,35.40071548,-78.81395276
S Desert Rd,Elizabeth City,North Carolina,NC,1,0,10,8,2017,36.29397687,-76.23494065
4365 Wakeman Dr,Winston Salem (Winston-salem),North Carolina,NC,1,0,8,17,2017,35.3662481,-79.42939386
1301 Filbert Place,High Point,North Carolina,NC,1,0,3,25,2017,35.95498956,-79.99005784
108 Dee Dee Pl,Goldsboro,North Carolina,NC,1,0,1,20,2017,35.3305332,-78.1079282
6500 block of Creedmoor Road,Raleigh,North Carolina,NC,1,0,1,11,2017,35.8302035,-78.6414394
334 Main Street,Pinetown,North Carolina,NC,1,0,1,3,2017,35.61103018,-76.8557994
500 block of Assiniboin Dr,Bismarck,North Dakota,ND,1,0,4,15,2017,46.81146344,-100.7692263
N/A,Edgeley,North Dakota,ND,1,0,2,7,2017,46.36233779,-98.71239314
8782 E TR 8,Republic,Ohio,OH,1,0,11,19,2017,40.42858964,-82.70242359
8600 block of Meadowview Dr,West Chester,Ohio,OH,1,0,11,18,2017,39.33520876,-84.4145443
6600 block of Brownfield Dr,Cleveland (Parma),Ohio,OH,1,0,9,28,2017,40.42858964,-82.70242359
300 block of Jackson St,Fremont,Ohio,OH,1,0,9,17,2017,40.42858964,-82.70242359
3800 block of Wade Rd,Madison,Ohio,OH,1,0,9,10,2017,41.77224045,-81.05297561
N 21st and Log Pond,Newark,Ohio,OH,1,1,7,24,2017,40.07107065,-82.42509931
900 block of McPherson Ave,Cincinnati,Ohio,OH,1,0,7,24,2017,39.14291321,-84.50366914
155 Prestige Pl,Miamisburg,Ohio,OH,1,0,7,23,2017,39.6336282,-84.2292953
Pasadena Pl,Barberton,Ohio,OH,1,0,6,19,2017,41.00959421,-81.60368904
6302 Busch Blvd,Columbus,Ohio,OH,1,0,5,6,2017,40.91903272,-84.05946017
600 block of Fulmer Ave,Akron,Ohio,OH,1,0,4,21,2017,41.08004268,-81.52186217
6550 Columbus Road NE,Louisville,Ohio,OH,1,0,3,24,2017,40.83640179,-81.2645727
2138 Claggett Drive,Dayton,Ohio,OH,1,0,3,21,2017,39.8165035,-84.194445
400 block of Iowa Ave,Lorain,Ohio,OH,1,0,2,12,2017,41.44096014,-82.18391979
1500 block of East Broadway St,Toledo,Ohio,OH,1,0,1,13,2017,41.66409973,-83.58189036
124 Regency Court,Covington,Ohio,OH,1,0,1,11,2017,40.10834,-84.3521766
3741 Prospect Rd,New London,Ohio,OH,1,0,1,4,2017,41.07962403,-82.40661941
Ridge Road,Newton Falls,Ohio,OH,1,0,12,31,2016,41.18861112,-80.97012928
3811 Library Avenue,Cleveland,Ohio,OH,1,0,12,23,2016,41.4577533,-81.7101428
2700 block of Noe Bixby,Columbus,Ohio,OH,1,0,12,21,2016,39.9847989,-82.9850438
4048 Parkmead Drive,Grove City,Ohio,OH,1,0,12,20,2016,39.8804936,-83.0629424
2331 Vixen Street NW,North Canton,Ohio,OH,1,0,12,11,2016,40.874325,-81.39679791
2201 West 93rd Street,Cleveland,Ohio,OH,1,0,12,8,2016,41.51121521,-81.56356397
2400 block of Seaman Street,Toledo,Ohio,OH,1,0,12,4,2016,41.66409973,-83.58189036
SR Route 65,Grand Rapids,Ohio,OH,1,0,11,26,2016,41.40775047,-83.86796091
2100 block of NW Lincoln,Lawton,Oklahoma,OK,1,0,10,29,2017,34.61597795,-98.420562
2600 block of 28th St,Tulsa,Oklahoma,OK,1,0,10,21,2017,36.13544967,-95.91306967
1505 Kinkaid Dr,Oklahoma City,Oklahoma,OK,1,0,10,11,2017,35.422422,-97.543986
25803 N CR 3250,Wynnewood,Oklahoma,OK,1,0,10,6,2017,34.6441776,-97.16268269
W 4th St and S 33rd W Ave,Tulsa,Oklahoma,OK,1,0,9,13,2017,36.13544967,-95.91306967
5000 block of S Hudson,Tulsa,Oklahoma,OK,1,0,8,9,2017,36.13544967,-95.91306967
5400 block of North Hartford,Tulsa,Oklahoma,OK,1,2,6,17,2017,36.13544967,-95.91306967
1000 Block of E 51st Pl N,Tulsa,Oklahoma,OK,1,0,6,14,2017,36.13544967,-95.91306967
1214 W Chickasha Ave,Chickasha,Oklahoma,OK,1,0,5,30,2017,35.56938633,-97.9483721
North 3950 Road,Ochelata,Oklahoma,OK,1,0,3,26,2017,36.60094314,-95.98119023
East 22 Road,Quapaw,Oklahoma,OK,1,0,2,22,2017,36.95858483,-94.78155251
1000 block of N Delaware Pl,Tulsa,Oklahoma,OK,1,0,2,16,2017,36.13544967,-95.91306967
2 Mile Road,Fort Gibson,Oklahoma,OK,1,0,12,14,2016,35.77669193,-95.25996737
300 block of Temple Brown Rd,Roseburg,Oregon,OR,1,0,11,17,2017,43.22205176,-123.3522361
19200 block of SW Cipole Rd,Sherwood,Oregon,OR,1,0,10,20,2017,45.35980655,-122.8430593
NF-15,Blue River,Oregon,OR,1,0,7,1,2017,44.07297028,-120.6425598
Heppsie Mountain Road,Eagle Point,Oregon,OR,1,0,3,23,2017,42.46772421,-122.8016084
7510 Southwest Aloma Way,Portland,Oregon,OR,1,0,1,26,2017,45.5371811,-122.6499872
15000 block of Greenwood Dr,La Pine,Oregon,OR,1,0,1,10,2017,43.68651678,-121.4855937
800 block of June Dr,Molalla,Oregon,OR,1,0,1,2,2017,44.07297028,-120.6425598
Robertson Bridge Rd,Grants Pass,Oregon,OR,1,0,12,31,2016,42.4340234,-123.3324735
200 block of W Godfrey,Philadelphia,Pennsylvania,PA,1,0,11,9,2017,40.00763806,-75.1339627
10124A Upper Little Creek Rd,Bangor,Pennsylvania,PA,1,0,10,21,2017,40.86795657,-75.208025
W 2nd St,Berwick,Pennsylvania,PA,1,0,10,3,2017,41.05549012,-76.24923993
126 E Barnum St,East Stroudsburg,Pennsylvania,PA,1,0,8,24,2017,40.9988613,-75.1886403
108 Dover Ln,West Mifflin,Pennsylvania,PA,1,0,8,9,2017,40.35808796,-79.90723365
5100 block of Lougean Ave,Pittsburgh,Pennsylvania,PA,1,0,7,22,2017,40.43946574,-79.97631573
2500 block of Myers School Rd,Red Lion,Pennsylvania,PA,1,0,6,24,2017,39.89860905,-76.60773531
500 block of Ash Lane,Saylorsburg,Pennsylvania,PA,1,0,6,18,2017,40.89973574,-75.3179614
2151 N Main St,Washington,Pennsylvania,PA,1,0,6,11,2017,40.17396328,-80.24672879
2902 Bethel Road,Chester,Pennsylvania,PA,1,0,6,3,2017,39.84562785,-75.37183417
1300 Block of Ridge St,Mckeesport,Pennsylvania,PA,1,0,4,25,2017,40.99568088,-77.78712223
3900 block of Orchard Drive,Macungie,Pennsylvania,PA,1,0,4,8,2017,40.51643225,-75.55448352
714 Southern Ave,Pittsburgh (Mount Washington),Pennsylvania,PA,1,0,3,12,2017,40.99568088,-77.78712223
Lake Lucy Road,Tionesta,Pennsylvania,PA,1,0,3,1,2017,41.49366089,-79.44799706
129 Finley St,Larimer,Pennsylvania,PA,1,0,1,22,2017,39.7883489,-78.92590894
400 block of West Baltimore Street,Greencastle,Pennsylvania,PA,1,0,12,31,2016,39.79067002,-77.72667392
218 Republic Rd,Republic,Pennsylvania,PA,1,0,11,27,2016,40.99568088,-77.78712223
Beckham Rd,Warrenville,South Carolina,SC,1,0,10,17,2017,33.54608584,-81.79897901
200 block of Hunters Mill Dr,West Columbia,South Carolina,SC,1,0,10,9,2017,33.990459,-81.0951262
N/A,Bowman,South Carolina,SC,1,0,10,1,2017,33.85416558,-80.90959195
Folly Rd,Hartsville,South Carolina,SC,1,0,9,15,2017,34.36826076,-80.08166824
Gentry Rd,Starr,South Carolina,SC,1,0,9,13,2017,34.376921,-82.69588194
2400 block of Truax Ln,Columbia,South Carolina,SC,2,0,9,6,2017,34.0297833,-80.8965664
509 E Dunlap St,Lancaster,South Carolina,SC,1,0,7,31,2017,33.85416558,-80.90959195
8720 Windsor Lake Blvd,Columbia,South Carolina,SC,1,0,7,29,2017,34.0297833,-80.8965664
8720 Windsor Lake Blvd,Columbia,South Carolina,SC,1,0,7,22,2017,34.0297833,-80.8965664
1509 Grove Rd,Greenville,South Carolina,SC,1,0,6,24,2017,34.8369021,-82.362997
Whitener Avenue,Spartanburg,South Carolina,SC,1,0,6,16,2017,34.9422944,-81.9269074
N/A,Anderson,South Carolina,SC,1,0,6,4,2017,34.52247869,-82.64706127
Miller Road,Sumter,South Carolina,SC,1,0,5,24,2017,33.940848,-80.3955428
500 block of  Agnew Road,Starr,South Carolina,SC,1,0,5,12,2017,34.376921,-82.69588194
Afton Court,Myrtle Beach,South Carolina,SC,1,0,2,2,2017,33.7108008,-78.8858621
Somerset Drive,Sumter,South Carolina,SC,1,0,1,26,2017,33.940848,-80.3955428
200 block of Cherrywood Dr,Elgin,South Carolina,SC,1,0,1,22,2017,34.17022189,-80.79299936
1358 Mount Pleasant Dr,Andrews,South Carolina,SC,1,0,12,26,2016,33.44942679,-79.56596985
605 Murphy Rd,Anderson,South Carolina,SC,1,0,12,26,2016,34.4650044,-82.7700943
Buffalo Street,Union,South Carolina,SC,1,0,12,10,2016,33.85416558,-80.90959195
Pineturn Lane,Gaston,South Carolina,SC,1,0,11,25,2016,33.81815163,-81.09968656
200 block of Wilson Road,Union,South Carolina,SC,1,0,11,12,2016,33.85416558,-80.90959195
4404 S Louise Ave,Sioux Falls,South Dakota,SD,1,0,7,29,2017,43.5383351,-96.7319985
N/A,Tripp (county),South Dakota,SD,1,0,6,10,2017,44.33413091,-100.153875
W Hwy 44 and Hwy 385,Pennington (county),South Dakota,SD,1,0,4,23,2017,44.33413091,-100.153875
N/A,Charles Mix (county),South Dakota,SD,1,0,3,19,2017,44.33413091,-100.153875
Evergreen Street,Dresden,Tennessee,TN,1,0,11,12,2017,36.27843905,-88.69390046
3527 S Mendenhall Rd,Memphis,Tennessee,TN,1,0,11,10,2017,35.0526303,-89.8864951
2000 block of South Lyle Lane,Nashville,Tennessee,TN,1,0,11,9,2017,36.16746379,-86.78570268
160 State Line Rd,Clarksville,Tennessee,TN,1,0,10,9,2017,36.56968315,-87.34323717
N 7th St,Nashville,Tennessee,TN,1,0,10,7,2017,36.16746379,-86.78570268
1768 Madison Street,Clarksville,Tennessee,TN,1,0,9,11,2017,36.56968315,-87.34323717
10th Ave,Springfield,Tennessee,TN,1,0,9,2,2017,36.49437452,-86.87151451
1000 block of Parkland Road,Memphis,Tennessee,TN,1,0,8,20,2017,35.10520292,-89.97735447
1400 block of Hickory Way,Memphis,Tennessee,TN,1,0,8,19,2017,35.10520292,-89.97735447
1219 Shorehaven Dr,Clarksville,Tennessee,TN,2,0,8,19,2017,36.56968315,-87.34323717
100 block of Donald St,Nashville,Tennessee,TN,1,0,8,4,2017,36.16746379,-86.78570268
1541 Northside Dr,Memphis,Tennessee,TN,1,0,7,22,2017,35.2321991,-90.0120705
573 Warrensburg Road,Greeneville,Tennessee,TN,1,0,7,8,2017,36.16802019,-82.8196659
Hurst Dr,Nashville,Tennessee,TN,1,1,6,24,2017,36.16746379,-86.78570268
4800 block of Rickard Rd,Memphis,Tennessee,TN,1,0,6,21,2017,35.10520292,-89.97735447
766 Lewis Street,Nashville,Tennessee,TN,1,0,6,6,2017,36.16746379,-86.78570268
12000 block of S Fork,Arlington,Tennessee,TN,1,0,6,1,2017,35.2595149,-89.66801568
Covington Pike,Memphis,Tennessee,TN,1,0,5,13,2017,35.10520292,-89.97735447
2516 E 21st St,Chattanooga,Tennessee,TN,1,0,4,9,2017,35.0168579,-85.2735324
2500 block of Hanwood,Memphis,Tennessee,TN,1,0,3,17,2017,35.10520292,-89.97735447
2373 Culps Bend Road,Clifton,Tennessee,TN,1,0,2,26,2017,35.37683838,-87.99366381
1000 block of Old Mail Rd,Crossville,Tennessee,TN,1,0,1,14,2017,35.9536368,-85.02825114
6110 Smith Road,Cedar Hill,Tennessee,TN,1,0,1,8,2017,36.55117588,-87.00068588
220 Vann Dr,Jackson,Tennessee,TN,1,0,1,6,2017,35.64931359,-88.83075059
6000 block of Middleburg Road,Henderson (county),Tennessee,TN,1,0,12,25,2016,35.85185663,-86.27777991
County Road 278,Niota,Tennessee,TN,1,0,11,26,2016,35.51591927,-84.54913967
N/A,Bulverde,Texas,TX,1,0,11,24,2017,29.77473807,-98.44180073
2600 block of FM 418,Kountze,Texas,TX,1,0,11,8,2017,30.37243226,-94.3159442
5400 block of Wilson Rd,Fort Worth,Texas,TX,1,0,10,28,2017,32.7795423,-97.3463354
Whitehurst Dr and Skillman St,Dallas,Texas,TX,1,0,10,3,2017,32.79464486,-96.76633721
CR 3560,Cleveland (Plum Grove),Texas,TX,1,0,9,30,2017,31.53834907,-99.6497468
19000 block of Highland,Tornillo,Texas,TX,1,0,9,28,2017,31.43659002,-106.1033047
3700 block of Burning Tree Ln,Garland,Texas,TX,1,0,9,26,2017,32.91008028,-96.6304259
5000 block of CR 48,Manvel,Texas,TX,1,0,9,19,2017,29.47617021,-95.35448477
3500 block of Parker Rd E,Haltom City,Texas,TX,1,0,9,2,2017,32.81758668,-97.27065856
9500 block of Timber Trail,Scurry,Texas,TX,1,0,8,28,2017,32.51282228,-96.38543728
1509 Trigg Ln,Wichita Falls,Texas,TX,1,0,8,7,2017,33.90727399,-98.52929817
6200 block of Big Valley Dr,San Antonio,Texas,TX,1,0,8,4,2017,31.53834907,-99.6497468
4700 block of 6th St,Bacliff,Texas,TX,1,0,7,30,2017,29.50772471,-94.98786157
19900 block of River Brook Dr,Humble (Atascocita),Texas,TX,1,0,7,20,2017,31.53834907,-99.6497468
1800 block of Edmund Blvd,San Angelo,Texas,TX,1,0,7,19,2017,31.53834907,-99.6497468
3134 Mission Gate,San Antonio,Texas,TX,1,0,7,4,2017,31.53834907,-99.6497468
300 block of Langton,San Antonio,Texas,TX,1,0,6,16,2017,31.53834907,-99.6497468
CR 2342,Dayton,Texas,TX,1,0,6,12,2017,30.03562378,-94.90244073
13800 block of Northlake Dr,Houston,Texas,TX,1,0,6,1,2017,29.7804724,-95.3863425
SR 134,Jefferson,Texas,TX,1,1,5,27,2017,32.76340092,-94.35115833
1601 W 11th Place,Big Spring,Texas,TX,1,0,5,12,2017,32.23871397,-101.4801578
1200 W 8th St,Freeport,Texas,TX,1,0,4,19,2017,28.94192268,-95.36208303
21323 Finbury Oaks Lane,Katy,Texas,TX,1,0,4,13,2017,29.79110761,-95.82679839
4800 block of Madyson Ridge Dr,Fort Worth,Texas,TX,1,0,4,10,2017,32.7795423,-97.3463354
1700 block of Aberdeen Dr,Arlington,Texas,TX,1,0,4,8,2017,32.69987097,-97.12592206
1000 block of Vaky Street,Corpus Christi,Texas,TX,1,0,4,2,2017,27.73759861,-97.28696423
7400 block of Clint Ln,San Antonio,Texas,TX,1,0,3,30,2017,31.53834907,-99.6497468
200 block of FM 1534,Whitney,Texas,TX,1,0,3,23,2017,31.95202012,-97.3192658
800 block of Green Ave,Killeen,Texas,TX,1,0,3,23,2017,31.07570201,-97.72990892
4002 Corder St,Houston,Texas,TX,2,0,3,22,2017,29.6827575,-95.3634794
400 Block of Hardy Circle,El Paso,Texas,TX,1,0,3,22,2017,31.8491633,-106.4326601
1500 block of Main Ave,Orange,Texas,TX,1,0,3,13,2017,27.95620302,-97.93855251
21300 block of Greenham Dr.,Spring,Texas,TX,1,0,3,10,2017,27.76152923,-97.74187314
1400 block of Dairy Ashford,Houston,Texas,TX,1,0,2,16,2017,29.7804724,-95.3863425
1500 W William Cannon Dr,Austin,Texas,TX,1,0,2,4,2017,30.2014702,-97.7996585
4235 Oak Shadows,Houston,Texas,TX,1,0,12,31,2016,29.84348366,-95.45072543
500 block of Anderson County Road 350,Palestine,Texas,TX,1,0,12,23,2016,31.75471225,-95.64717448
501 East Stassney Lane,Austin,Texas,TX,1,0,12,12,2016,30.2018519,-97.7718743
Highway 78,Bonham,Texas,TX,0,0,11,30,2016,31.53834907,-99.6497468
406 W Martinez St,Del Rio,Texas,TX,2,0,11,28,2016,29.37019321,-100.8797589
CR 4452,Palestine,Texas,TX,1,0,11,12,2016,31.75471225,-95.64717448
N/A,Santaquin,Utah,UT,1,0,10,7,2017,39.97212335,-111.7926968
602 Brooklyn Road,Danby (Mount Tabor),Vermont,VT,1,0,12,11,2016,44.02009856,-72.61472563
1700 block of Skiffes Creek Circle,Williamsburg,Virginia,VA,1,0,11,2,2017,37.26917247,-76.70719886
Welch Dr and Old Creek Rd,Chesterfield,Virginia,VA,1,0,6,7,2017,37.64882817,-78.70157159
1300 block of Lead Street,Norfolk,Virginia,VA,1,0,5,21,2017,36.92334179,-76.24561422
10438 Cecelia Lane,Locust Grove,Virginia,VA,1,0,5,15,2017,38.2567783,-77.8436831
Mine Run Rd,Locust Grove,Virginia,VA,1,0,5,15,2017,37.64882817,-78.70157159
1600 block of Henrico Arms Place,Henrico,Virginia,VA,1,0,4,30,2017,37.64882817,-78.70157159
1200 block of Seaboard Avenue,Chesapeake,Virginia,VA,1,0,4,29,2017,36.67775211,-76.30243259
Jahnke Rd,Richmond,Virginia,VA,1,0,4,1,2017,37.64882817,-78.70157159
Regal Way,Hampton,Virginia,VA,1,0,3,16,2017,37.04872093,-76.29536561
201 Neel St,Bluefield,Virginia,VA,1,0,1,5,2017,37.23530855,-81.2745295
Daniel Road,Mineral,Virginia,VA,1,0,12,2,2016,38.00679197,-77.90608085
Mt. Carmel Road,Charlotte (county),Virginia,VA,1,0,12,2,2016,37.64882817,-78.70157159
700 block of Dabney Road,Christiansburg,Virginia,VA,1,0,11,22,2016,37.14137707,-80.40276384
I-85,Dinwiddie (county),Virginia,VA,1,0,11,20,2016,37.64882817,-78.70157159
1500 block of Carroll Rd,Kelso,Washington,WA,1,0,10,14,2017,46.12510902,-122.8912636
N Washington St and Spokane Falls Blvd,Spokane,Washington,WA,1,0,8,15,2017,47.66255658,-117.2345719
2400 block of South Star Lake Rd,Federal Way,Washington,WA,1,0,7,5,2017,47.30908515,-122.3357556
S 3rd St and Arlington St,Yakima,Washington,WA,1,0,5,7,2017,46.59260449,-120.5478201
1700 block of 211th St Ct E,Spanaway,Washington,WA,1,0,5,2,2017,47.09788737,-122.4232572
10200 block of 23rd Court Southwest,Seattle,Washington,WA,1,0,3,10,2017,47.62024593,-122.3506866
13100 block of A Street South,Spanaway,Washington,WA,1,0,2,11,2017,47.09788737,-122.4232572
Cleveland Avenue,Everett,Washington,WA,1,0,12,15,2016,47.96131252,-122.1865365
N/A,New Martinsville,West Virginia,WV,1,0,11,20,2017,39.66345582,-80.85687088
Low Gap Rd,Princeton,West Virginia,WV,1,0,7,6,2017,37.36887952,-81.09615236
110 Erica Lane,Princeton,West Virginia,WV,1,0,12,26,2016,37.36887952,-81.09615236
Highway 47 West,Troy,West Virginia,WV,1,0,11,23,2016,38.87760022,-80.36684481
Highway 23,Loganville,Wisconsin,WI,1,0,8,8,2017,43.43883106,-90.03734572
E410 Rieben Rd,Waupaca,Wisconsin,WI,1,0,7,26,2017,44.35092478,-89.07210812
1800 block of Howe St,Racine,Wisconsin,WI,1,0,7,12,2017,42.72898437,-87.80711716
Pisgah Road,Ontario,Wisconsin,WI,1,0,5,21,2017,43.72216976,-90.59411868
535 W. College Ave,Appleton,Wisconsin,WI,1,1,5,21,2017,44.2788191,-88.3926255
9864 Boulevard Rd,Cadott,Wisconsin,WI,1,0,3,30,2017,44.7536765,-89.63679943
1800 block of Harold St,Green Bay,Wisconsin,WI,1,0,2,20,2017,44.52070927,-87.98541795
3600 block of 48th St.,Kenosha,Wisconsin,WI,1,0,2,11,2017,42.5847398,-87.8736961
Emery Court,East Troy,Wisconsin,WI,1,0,1,2,2017,42.78472104,-88.39728055
