Address,CityOrCounty,State,StateAbr,Killed,Injured,Month,Day,Year,Latitude,Longitude
N/A,Tampa,Florida,FL,1,0,9,14,2017,27.96800236,-82.4763859
6500 87th Ave N,Pinellas Park,Florida,FL,1,0,8,28,2017,27.85074772,-82.7267795
2000 block of Arlington St,Sarasota,Florida,FL,1,0,7,30,2017,27.30925191,-82.47885263
1020 E Hannah Ave,Tampa,Florida,FL,1,0,7,30,2017,27.96800236,-82.4763859
4600 block of FL 16,Saint Augustine,Florida,FL,1,0,7,29,2017,28.14683286,-83.20422736
US 27,Palm Beach (county),Florida,FL,1,0,7,5,2017,28.14683286,-83.20422736
1000 block of Loring St,Merritt Island,Florida,FL,1,0,7,5,2017,28.31464297,-80.67125925
935 CR 229,Wildwood,Florida,FL,1,0,7,4,2017,28.14683286,-83.20422736
300 block of 12th Ave W,Bradenton,Florida,FL,1,0,6,22,2017,27.48965598,-82.57816978
Willard Rd,Palm Bay,Florida,FL,1,0,6,14,2017,27.98605927,-80.66280174
4717 SW 13th Ave,Cape Coral,Florida,FL,1,1,6,8,2017,26.563807,-82.0016913
4100 block of NW 21st St,Fort Lauderdale (Lauderhill),Florida,FL,1,0,6,7,2017,28.14683286,-83.20422736
Willow Branch Avenue,Jacksonville,Florida,FL,1,0,4,30,2017,30.3369138,-81.66090703
421 NW 167th St,Homestead (Florida City),Florida,FL,1,0,4,25,2017,28.14683286,-83.20422736
704 S. Military Trail,West Palm Beach,Florida,FL,1,0,4,21,2017,26.74681035,-80.13150971
Ziegler Rd,Orlando,Florida,FL,1,0,4,10,2017,28.4158857,-81.2987497
Sandy Mountain Church Rd,Fountain,Florida,FL,1,0,3,30,2017,28.14683286,-83.20422736
Kitty Hawk Ave,Orlando,Florida,FL,1,0,3,27,2017,28.4158857,-81.2987497
14990 NW Ninth Court,Miami,Florida,FL,1,0,2,22,2017,25.77525637,-80.20885121
700 N Lincoln St,Jacksonville,Florida,FL,1,1,2,4,2017,30.3369138,-81.66090703
100 block of Lakeside Hills Loop,Auburndale,Florida,FL,1,0,1,20,2017,28.100985,-81.7937179
20549 Southwest 93rd Avenue,Miami (Cutler Bay),Florida,FL,1,0,12,31,2016,28.14683286,-83.20422736
2200 block of Brookpark Road,Pensacola,Florida,FL,1,0,12,9,2016,28.14683286,-83.20422736
2520 US Hwy 92 West,Winter Haven,Florida,FL,1,0,11,28,2016,28.0458354,-81.7327423
N/A,Levy (county),Florida,FL,1,0,11,24,2016,28.14683286,-83.20422736
300 Block of Fairburn Rd,Atlanta,Georgia,GA,1,0,10,31,2017,33.76265247,-84.4231419
Boca Grande Boulevard,Forest Park,Georgia,GA,1,0,10,26,2017,33.6209416,-84.35920961
2300 Block of Barton Chapel Rd,Augusta,Georgia,GA,1,0,10,1,2017,32.6176611,-83.39219224
2400 Block of Amsterdam Dr,Augusta,Georgia,GA,1,0,9,30,2017,32.6176611,-83.39219224
790 Wilson Circle,Marietta,Georgia,GA,1,0,8,27,2017,33.9498298,-84.5766598
Hollow Ridge Drive,Athens,Georgia,GA,1,0,7,19,2017,33.95081707,-83.36894174
2591 Etheridge Dr NW,Atlanta,Georgia,GA,1,0,7,4,2017,33.78910074,-84.47280476
Culpepper Rd,Cordele,Georgia,GA,1,0,7,1,2017,31.95669419,-83.76909545
N/A,Jenkins (county),Georgia,GA,1,0,6,30,2017,32.6176611,-83.39219224
152 Bradstone Circle,Macon,Georgia,GA,1,0,6,19,2017,32.83205682,-83.64960509
Double Branches Lane,Dallas,Georgia,GA,1,0,6,16,2017,33.9144325,-84.8425332
Warm Springs Rd,Columbus,Georgia,GA,1,0,6,11,2017,32.5099615,-84.87704106
2500 block of Avalon Cir,Winder,Georgia,GA,1,0,5,10,2017,33.99292704,-83.72095817
1502 E Morris St,Dalton,Georgia,GA,1,0,4,21,2017,34.7692219,-84.9704204
5539 Pineridge Ct,Forest Park,Georgia,GA,1,0,4,10,2017,33.6209416,-84.35920961
Hailston Drive,Duluth,Georgia,GA,1,0,3,29,2017,34.00568357,-84.14911121
506 S 3rd Street,Warner Robins,Georgia,GA,1,0,3,9,2017,32.5970961,-83.653936
Coventry Avenue,Grovetown,Georgia,GA,1,0,2,25,2017,33.44946676,-82.2064765
1103 E Church St,Fort Valley,Georgia,GA,1,0,2,6,2017,32.55224903,-83.88135404
Peaceful Ln,Danielsville,Georgia,GA,1,0,2,5,2017,34.12306007,-83.21998552
N/A,Webster (county),Georgia,GA,1,0,12,30,2016,32.6176611,-83.39219224
1000 block of Cherry Creek Drive,Valdosta,Georgia,GA,1,0,12,28,2016,30.84940853,-83.27924556
6660 Mableton Pkwy SE,Mableton,Georgia,GA,1,0,12,6,2016,33.81322182,-84.56540896
Highway 16,Jasper (county),Georgia,GA,1,0,11,13,2016,32.6176611,-83.39219224
Nora Creek Rd,Troy,Idaho,ID,1,0,7,17,2017,46.73751213,-116.7722298
22400 block of Big Canyon Road,Peck,Idaho,ID,1,0,2,2,2017,46.47442835,-116.4258196
232 2nd Ave N,Twin Falls,Idaho,ID,1,0,1,19,2017,42.56301485,-114.4639957
22000 Armington Rd,Delavan,Illinois,IL,1,0,11,24,2017,40.37147528,-89.54447343
6600 S Marquette Rd,Chicago,Illinois,IL,1,0,10,29,2017,41.83861021,-87.68661087
4800 W Hutchinson St,Chicago,Illinois,IL,1,0,10,28,2017,41.83861021,-87.68661087
6300 block of Cherylwood Dr,Springfield,Illinois,IL,1,0,7,31,2017,39.7639077,-89.6708323
6100 block of S Winchester Ave,Chicago (Englewood),Illinois,IL,1,0,7,14,2017,40.10756121,-89.1611563
6100 block of S Winchester,Chicago,Illinois,IL,1,0,7,13,2017,41.83861021,-87.68661087
9900 block of Linda Ln,Des Plaines,Illinois,IL,1,0,7,8,2017,42.03434088,-87.90082981
300 block of North Broadway St,Joliet,Illinois,IL,1,0,6,5,2017,41.5180664,-88.1583542
200 block of East Scarritt Street,Springfield,Illinois,IL,1,0,5,24,2017,39.7639077,-89.6708323
2106 David Drive,Des Plaines,Illinois,IL,1,0,5,20,2017,42.03434088,-87.90082981
1800 block of Victoria Dr,Pekin,Illinois,IL,0,0,4,7,2017,40.56748022,-89.62621989
1100 block of Bateman Street,Galesburg,Illinois,IL,1,0,3,25,2017,40.95189288,-90.37433823
West Monaville Road and West Old Monaville Road,Lake Villa,Illinois,IL,1,0,3,13,2017,42.4183469,-88.08287423
0 block of North Sacramento,Chicago,Illinois,IL,1,0,1,21,2017,41.83861021,-87.68661087
4800 block of West Ferdinand Street,Chicago,Illinois,IL,1,0,12,30,2016,41.83861021,-87.68661087
2041 E Lawrence Ave,Springfield,Illinois,IL,1,0,12,14,2016,39.7639077,-89.6708323
N/A,Elizabeth,Indiana,IN,1,0,11,19,2017,38.12387083,-85.97296393
8000 Wildwood Farms Dr,Indianapolis,Indiana,IN,1,0,10,29,2017,39.77710046,-86.14634767
420 E McGalliard Rd,Muncie,Indiana,IN,1,0,10,18,2017,40.19891031,-85.39370322
1800 block of N Routiers Ave,Indianapolis,Indiana,IN,1,0,10,1,2017,39.77710046,-86.14634767
7200 block of Osborn Ave,Hammond,Indiana,IN,2,0,9,2,2017,39.82203943,-86.38015459
8148 NW Shafer Dr,Monticello,Indiana,IN,1,0,8,13,2017,40.74548547,-86.76693645
7700 block of East 120th Avenue,Crown Point,Indiana,IN,1,0,8,5,2017,41.41345465,-87.34430395
7300 block of Harrison Avenue,Hammond,Indiana,IN,1,0,7,1,2017,39.82203943,-86.38015459
7100 block of Warrior Trail,Indianapolis,Indiana,IN,1,0,6,26,2017,39.77710046,-86.14634767
100 block of East 10th Avenue,Hobart,Indiana,IN,1,0,6,10,2017,41.51387579,-87.27274687
3500 block of Guthrie Street,East Chicago,Indiana,IN,1,0,5,11,2017,41.65000235,-87.45180276
4033 Robinwood Dr,Fort Wayne,Indiana,IN,1,0,4,25,2017,41.08849204,-85.14358989
2300 block of Raceway Rd,Indianapolis,Indiana,IN,1,0,4,9,2017,39.77710046,-86.14634767
503 W. Wiley St,Bluffton,Indiana,IN,1,0,4,4,2017,40.74236207,-85.17301575
2600 block of Tyler Street,Gary,Indiana,IN,1,0,3,22,2017,41.59560282,-87.3452059
800 block of Bendix,South Bend,Indiana,IN,2,0,3,16,2017,41.67725366,-86.26911678
South Camden Drive,Bloomington,Indiana,IN,1,0,2,21,2017,39.82203943,-86.38015459
3600 block of Glen Arm Rd,Indianapolis,Indiana,IN,1,0,2,14,2017,39.77710046,-86.14634767
2000 block of Jaden Lane,Greenwood,Indiana,IN,1,0,1,15,2017,39.60881864,-86.10633798
4006 Newburgh Drive,Indianapolis,Indiana,IN,1,0,12,31,2016,39.77710046,-86.14634767
25908 San Lu Rae Drive,Elkhart,Indiana,IN,1,0,12,27,2016,41.69184954,-85.96623839
29508 San Lu Rae Drive,Elkhart,Indiana,IN,1,0,12,23,2016,41.69184954,-85.96623839
800 block of 21st Street,Logansport,Indiana,IN,1,0,12,15,2016,40.75018003,-86.3559161
300 block of Cleveland Street,Columbus,Indiana,IN,1,0,12,12,2016,39.2095928,-85.91785988
1600 block of West 7th Street,Anderson,Indiana,IN,1,0,11,22,2016,40.08949108,-85.68939741
N/A,Allison,Iowa,IA,1,0,12,24,2016,42.75174813,-92.79576056
606 N Michigan St,Lawrence,Kansas,KS,1,0,9,22,2017,38.99377565,-95.25146685
715 SW 16th Ave,Topeka,Kansas,KS,1,0,5,31,2017,39.03818505,-95.68698069
9700 block of Westlawn,Wichita,Kansas,KS,1,0,4,4,2017,37.6906938,-97.3426776
1300th block of North Erie,Wichita,Kansas,KS,1,0,12,17,2016,37.6906938,-97.3426776
JE Haynes Road,Irvington,Kentucky,KY,1,0,11,23,2017,37.87793366,-86.28470433
200 Block of North Court Street,Georgetown,Kentucky,KY,1,0,10,20,2017,38.22464939,-84.54788396
N/A,Nicholasville,Kentucky,KY,1,0,10,19,2017,37.89377487,-84.56549687
E 6th St,Covington,Kentucky,KY,1,0,10,19,2017,39.03350961,-84.51667779
KY-1003,Somerset,Kentucky,KY,1,0,10,11,2017,37.0811133,-84.60871778
Beaumont Ct,Hopkinsville,Kentucky,KY,1,0,10,7,2017,36.83765012,-87.47762026
303 Pepper St,Franklin,Kentucky,KY,1,0,9,22,2017,36.71929482,-86.56535088
1840 Holman Ave,Covington,Kentucky,KY,1,0,8,14,2017,39.0666926,-84.5103495
6509 Huff Lane,Louisville,Kentucky,KY,1,0,7,31,2017,38.1895252,-85.869544
Busy Baker Road,Campbellsville,Kentucky,KY,1,0,5,20,2017,37.34365765,-85.3466324
4214 Pinhook Road,Mount Olivet,Kentucky,KY,1,0,3,21,2017,38.53175558,-84.03721357
Kelly Drive,Dry Ridge,Kentucky,KY,1,0,3,6,2017,37.59576387,-85.40914763
2800 Scottsville Road,Bowling Green,Kentucky,KY,1,0,1,22,2017,36.9472439,-86.4224831
Cedar Flat Rd,Edmonton,Kentucky,KY,1,0,11,27,2016,37.59576387,-85.40914763
10363 Bayou des Glaises St,Moreauville,Louisiana,LA,1,0,11,21,2017,31.0341754,-91.98171374
N/A,Allen (county),Louisiana,LA,1,0,11,5,2017,30.8956711,-91.67752985
1000 block of Kennedy Drive,Arnaudville,Louisiana,LA,1,0,11,2,2017,30.40220726,-91.93199259
Marshall St and Bubba St,Plaquemine,Louisiana,LA,1,0,11,2,2017,30.28320339,-91.24300709
10900 block of Florida Blvd,Baton Rouge,Louisiana,LA,1,0,8,22,2017,30.4507665,-91.12584647
6200 block of Cameron St,New Orleans,Louisiana,LA,1,0,7,14,2017,30.06880013,-89.9308814
9200 block of E Claiborne Pkwy,Westwego (Bridge City),Louisiana,LA,1,0,7,14,2017,30.8956711,-91.67752985
2400 block of Alex Kornman Blvd,Harvey,Louisiana,LA,1,0,7,6,2017,29.8869868,-90.06642184
